[2013-09-10 17:35:36,255](INFO)werkzeug : 192.168.198.1 - - [10/Sep/2013 17:35:36] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-10 17:35:37,469](INFO)werkzeug : 192.168.198.1 - - [10/Sep/2013 17:35:37] "GET /favicon.ico HTTP/1.1" 404 -
[2013-09-12 23:14:12,272](INFO)werkzeug :  * Running on http://0.0.0.0:8080/
[2013-09-12 23:14:12,291](INFO)werkzeug :  * Restarting with reloader
[2013-09-12 23:15:11,988](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:11] "GET /upload HTTP/1.1" 200 -
[2013-09-12 23:15:12,317](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:12] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:15:12,322](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:12] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:15:12,325](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:12] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:15:12,327](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:12] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:15:12,329](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:12] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:15:14,870](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:14] "GET / HTTP/1.1" 200 -
[2013-09-12 23:15:15,035](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload-image.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,038](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload-video.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,041](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload-validate.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,045](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload-ui.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,048](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload-process.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,069](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/vendor/jquery.ui.widget.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,072](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,075](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.fileupload-audio.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,077](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/jquery.iframe-transport.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,082](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /static/js/main.js HTTP/1.1" 304 -
[2013-09-12 23:15:15,834](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /favicon.ico HTTP/1.1" 404 -
[2013-09-12 23:15:15,839](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:15] "GET /favicon.ico HTTP/1.1" 404 -
[2013-09-12 23:15:45,974](INFO)werkzeug :  * Detected change in '/opt/app/web/views.py', reloading
[2013-09-12 23:15:45,989](INFO)werkzeug :  * Restarting with reloader
[2013-09-12 23:15:47,069](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET / HTTP/1.1" 200 -
[2013-09-12 23:15:47,179](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /css/style.css HTTP/1.1" 404 -
[2013-09-12 23:15:47,182](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /css/jquery.fileupload-ui.css HTTP/1.1" 404 -
[2013-09-12 23:15:47,599](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/vendor/jquery.ui.widget.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,601](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.iframe-transport.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,603](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.fileupload.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,605](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.fileupload-process.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,606](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.fileupload-image.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,608](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.fileupload-audio.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,610](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.fileupload-video.js HTTP/1.1" 404 -
[2013-09-12 23:15:47,612](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:47] "GET /js/jquery.fileupload-validate.js HTTP/1.1" 404 -
[2013-09-12 23:15:48,288](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:48] "GET /js/vendor/jquery.ui.widget.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,061](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.iframe-transport.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,065](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.fileupload.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,073](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.fileupload-process.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,078](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.fileupload-image.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,081](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.fileupload-audio.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,085](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.fileupload-video.js HTTP/1.1" 404 -
[2013-09-12 23:15:50,091](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:15:50] "GET /js/jquery.fileupload-validate.js HTTP/1.1" 404 -
[2013-09-12 23:19:13,411](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:19:13] "GET / HTTP/1.1" 200 -
[2013-09-12 23:19:13,481](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:19:13] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:19:13,485](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:19:13] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:19:13,486](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:19:13] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:19:13,491](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:19:13] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:19:13,493](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:19:13] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:21:43,336](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:43] "GET / HTTP/1.1" 200 -
[2013-09-12 23:21:43,410](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:43] "GET /static/css/bootstrap.min.css HTTP/1.1" 304 -
[2013-09-12 23:21:43,413](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:43] "GET /static/js/jQuery.js HTTP/1.1" 304 -
[2013-09-12 23:21:43,416](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:43] "GET /static/js/bootstrap.js HTTP/1.1" 304 -
[2013-09-12 23:21:43,419](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:43] "GET /static/css/style.css HTTP/1.1" 304 -
[2013-09-12 23:21:43,421](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:43] "GET /static/css/jquery.fileupload-ui.css HTTP/1.1" 304 -
[2013-09-12 23:21:44,766](INFO)werkzeug : 192.168.198.1 - - [12/Sep/2013 23:21:44] "GET /?__debugger__=yes&cmd=resource&f=console.png HTTP/1.1" 200 -
